experiment,condition_name,run,seed,packet_loss,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,valid_estimate_count,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
packet_loss,loss_0.05_tro_sliding_window,15,2022,0.05,tro_sliding_window,0.8419007871291716,0.7762135401456425,0.7583321709483193,1.3468027600896917,1.60870815145479,100.0,300,0,20.32,4.0,0.44052722242746994,1.0,1.8615672365361078,7.6621605082701185,1.7264221513194202,144,0,0,0,1200,72,1128,1128,0,1128,1128,0,67,72,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,16,2023,0.05,tro_sliding_window,0.8223154304236759,0.7499903285963623,0.722666877372327,1.3315309236773205,1.887055057437755,100.0,300,0,20.596666666666668,4.0,0.4404500706981376,1.0,1.9231015027161538,8.105764057877076,1.7172984501115407,116,0,0,0,1200,58,1142,1142,0,1142,1142,0,56,58,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,17,2024,0.05,tro_sliding_window,0.8395189248995386,0.7704483744858943,0.7478863368798195,1.341236069578633,2.187612530861122,100.0,300,0,20.19333333333333,4.0,0.4404186873219131,1.0,1.9066098312751623,8.067971181207854,1.7351692279712627,158,0,0,0,1200,79,1121,1121,0,1121,1121,0,73,79,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,18,2025,0.05,tro_sliding_window,0.807101387831743,0.7524314795679806,0.7319287188447852,1.2833259164299808,1.582731914452802,100.0,300,0,20.296666666666667,4.0,0.44049612014905315,1.0,1.960681867009106,7.280990967748366,1.7216331643000709,146,0,0,0,1200,73,1127,1127,0,1127,1127,0,69,73,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,19,2026,0.05,tro_sliding_window,0.8701318610286906,0.7969187965197928,0.7549634089022343,1.4546900105151614,1.9056761211197288,100.0,300,0,20.523333333333333,4.0,0.4403176206293737,1.0,1.9195054389526038,7.299069365035506,1.720489908256781,121,0,0,0,1200,61,1139,1139,0,1139,1139,0,56,60,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,0,3007,0.05,latest_only,1.803987788370182,1.6460146926086263,1.4922589269378372,2.9936324373314993,4.022286943651058,100.0,300,0,4.0,4.0,0.010833333333333377,0.4000000000000057,1.6092220782826128,6.684213321841475,1.691884405324203,124,0,0,0,1200,62,1138,1138,0,1138,1138,0,59,62,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,1,3008,0.05,latest_only,1.8634265203252027,1.693438799076216,1.557449863733729,3.0063255826024786,5.337127926272516,100.0,300,0,3.9966666666666666,3.9966666666666666,0.010666666666666727,0.4000000000000057,1.562895952805704,5.816489768704164,1.6969016015354241,120,0,0,0,1200,61,1139,1139,0,1139,1139,0,55,59,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,2,3009,0.05,latest_only,1.7835080661359797,1.6047730021388267,1.4689219269864318,3.0775581068111135,3.9569562734095296,100.0,300,0,4.0,4.0,0.008500000000000058,0.20000000000000284,1.5544775802030606,5.457386370160548,1.6915252597976844,101,0,0,0,1200,51,1149,1149,0,1149,1149,0,50,50,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,3,3010,0.05,latest_only,1.8192639529724932,1.6315134750125837,1.5507140798683152,3.1163930333766836,4.5433893424428335,100.0,300,0,4.0,4.0,0.013000000000000055,0.4000000000000057,1.6395828178799852,6.3615611293510765,1.6946616540878676,144,0,0,0,1200,72,1128,1128,0,1128,1128,0,66,72,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_latest_only,4,3011,0.05,latest_only,1.8339426550026505,1.6612796098988258,1.5912099439523704,3.0760992472293944,4.5322537089406385,100.0,300,0,4.0,4.0,0.011000000000000062,0.4000000000000057,1.6695958128237673,6.326281767123172,1.6937760176941925,126,0,0,0,1200,63,1137,1137,0,1137,1137,0,60,63,0,0,0,1200,64,1280.0,10.24,0.0
