experiment_name,condition_name,method,run,seed,target_speed,uav_rates,fusion_rate,packet_loss,delay,bearing_noise_deg,position_noise_m,sync_tolerance_s,sliding_window_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,availability_percent,valid_estimates,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,packet_loss_count,stale_rejected_count,duplicate_count,out_of_order_count,monte_carlo_runs
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,11,10018,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.017445060800633,4.318144999165852,3.8960446153291004,8.173588847183492,13.68164236662577,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,0.8786556775943829,3.1171025445164497,10.882165985620428,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,12,10019,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.690822869827697,4.188170237747637,4.083145299754823,7.476205589805553,10.54227993033143,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.0638331623918023,3.850979599840968,10.751902751111396,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,13,10020,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.079109507500259,4.48522370473176,3.9499173935316425,9.491966460131382,11.540926509337343,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1191567499883566,3.344195802176673,10.7987404964881,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,14,10021,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.1454947269279,4.353667735244437,3.617823858469453,10.632280881876515,11.13206451093516,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.0083716092105328,2.7079729787068483,10.827044917685575,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,15,10022,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.460928274376579,3.5777314435374232,3.1000766709388774,9.017751027754539,12.951665623612497,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,0.918661889790555,4.155095333578845,10.807773928301451,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,16,10023,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.72659063660761,4.032211838665399,3.900592946890034,7.947640274992627,11.3284346875331,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.0254771719560707,3.562576207185214,10.78436691040926,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,17,10024,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.539406518387674,3.8335831244172693,3.1451864794284967,9.592605191284902,9.943116834291295,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1458557235804643,4.563595856992673,10.826417272221866,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,18,10025,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.451726648461791,3.7885418789043532,2.955977412900501,7.914147846539313,10.341265309392353,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.162535902544416,4.665153072228048,10.773339321053783,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,19,10026,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.788734418135865,4.013830667385554,3.115104931301521,8.359769638507867,13.31612254960417,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1510698937707664,3.652198352947102,10.785299842082834,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,0,11007,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.4668600667732095,1.319373383720324,1.2163161806134362,2.5256507912985646,4.219253352536859,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.181897440932029,8.413892224315452,3.258985748781018,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,1,11008,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.5504282263563665,1.409140571982824,1.299435220431222,2.6919842739009323,3.545214295966822,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.1682397320684985,8.461741103749741,3.246902719483051,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,2,11009,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.519984984155683,1.3637632620025908,1.252323256215114,2.4987637721863662,5.200449584726541,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.1722717423108975,7.500827641190515,3.254924096218415,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,3,11010,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.5962877059370284,1.438114579899029,1.3234351366033559,2.6337819352372596,4.836638013350838,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.108178986927715,9.232072491454913,3.2551333253089445,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,4,11011,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.4678511098635785,1.3176977738313862,1.2656379349253477,2.3868909089453596,4.2496005131164365,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.1574243425040414,7.651197420771515,3.2657235849596975,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,tro_sliding_window_fusion,5,11012,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,1.40845975593061,1.2695444002011451,1.1975571006624721,2.3423830793917055,3.9568563167582,99.66666666666667,299,1,9.556666666666667,3.5933333333333333,0.24245037037027964,0.5000000000000142,2.1510596041168233,10.201412683614516,3.2450382005209746,0,0,0,0,20
